date,ticker,F_debt,stock_price,shares,Tbill
2018-01-31,ABBV,18622,112.22,1596.43,1.8
2018-02-28,ABBV,18622,115.83,1587.973,1.96
2018-03-29,ABBV,18622,94.65,1586.687,2.06
2018-04-30,ABBV,21891.5,96.55,1586.687,2.15
2018-05-31,ABBV,21891.5,98.94,1586.879,2.27
2018-06-29,ABBV,21891.5,92.65,1586.879,2.33
2018-07-31,ABBV,21891.5,92.23,1586.879,2.39
2018-08-31,ABBV,21891.5,95.98,1514.273,2.45
2018-09-28,ABBV,21891.5,94.58,1514.273,2.56
2018-10-31,ABBV,21891.5,77.85,1514.273,2.65
2018-11-30,ABBV,21891.5,94.27,1504.216,2.7
2018-12-31,ABBV,21891.5,92.19,1504.216,2.66
2019-01-31,ABBV,21891.5,80.29,1504.216,2.58
2019-02-28,ABBV,21891.5,79.24,1475.084,2.55
2019-03-29,ABBV,21891.5,80.59,1478.165,2.49
2019-04-30,ABBV,22809,79.39,1478.165,2.42
2019-05-31,ABBV,22809,76.71,1478.332,2.34
2019-06-28,ABBV,22809,72.72,1478.365,2
2019-07-31,ABBV,22809,66.62,1478.365,1.96
2019-08-30,ABBV,22809,65.74,1478.484,1.77
2019-09-30,ABBV,22809,75.72,1478.484,1.8
2019-10-31,ABBV,22809,79.55,1478.484,1.61
2019-11-29,ABBV,22809,87.73,1478.821,1.57
2019-12-31,ABBV,22809,88.54,1478.821,1.55
2020-01-31,ABBV,22809,81.02,1478.821,1.53
2020-02-28,ABBV,22809,85.71,1479.157,1.41
2020-03-31,ABBV,35475,76.19,1476.673,0.33
2020-04-30,ABBV,35475,82.2,1476.673,0.18
2020-05-29,ABBV,35475,92.67,1762.342,0.16
2020-06-30,ABBV,35475,98.18,1762.342,0.18
2020-07-31,ABBV,35475,94.91,1762.342,0.15
2020-08-31,ABBV,35475,95.77,1764.833,0.13
2020-09-30,ABBV,35475,87.59,1764.833,0.13
2020-10-30,ABBV,35475,85.1,1764.833,0.13
2020-11-30,ABBV,35475,104.58,1765.474,0.12
2020-12-31,ABBV,35475,107.15,1765.474,0.1
2021-01-29,ABBV,35475,102.48,1765.474,0.1
2021-02-26,ABBV,35475,107.74,1765.882,0.07
2021-03-31,ABBV,47870,108.22,1764.826,0.08
2021-04-30,ABBV,47870,111.5,1764.826,0.06
2021-05-28,ABBV,47870,113.2,1766.222,0.05
2021-06-30,ABBV,47870,112.64,1766.222,0.07
2021-07-30,ABBV,47870,116.3,1766.222,0.08
2021-08-31,ABBV,47870,120.78,1767.176,0.07
2021-09-30,ABBV,47870,107.87,1767.176,0.08
2021-10-29,ABBV,47870,114.67,1767.176,0.11
2021-11-30,ABBV,47870,115.28,1767.88,0.18
2021-12-31,ABBV,47870,135.39999,1767.88,0.3
2022-01-31,ABBV,47870,136.89,1767.88,0.55
2022-02-28,ABBV,47870,147.77,1768.754,1
2022-03-31,ABBV,45124,162.11,1766.285,1.34
2022-04-29,ABBV,45124,146.88,1766.285,1.89
2022-05-31,ABBV,45124,147.37,1767.11,2.06
2022-06-30,ABBV,45124,153.16,1767.11,2.65
2022-07-29,ABBV,45124,143.50999,1767.11,3.02
2022-08-31,ABBV,45124,134.46001,1768.096,3.28
2022-09-30,ABBV,45124,134.21001,1768.096,3.89
2022-10-31,ABBV,45124,146.39999,1768.096,4.43
2022-11-30,ABBV,45124,161.17999,1768.481,4.73
2022-12-30,ABBV,45124,161.61,1768.481,4.68
2018-01-31,AMD,717.5,13.74,967,1.8
2018-02-28,AMD,717.5,12.11,969.11,1.96
2018-03-29,AMD,717.5,10.05,969,2.06
2018-04-30,AMD,732.5,10.88,969.344,2.15
2018-05-31,AMD,732.5,13.73,969.344,2.27
2018-06-29,AMD,732.5,14.99,975,2.33
2018-07-31,AMD,732.5,18.33,974.872,2.39
2018-08-31,AMD,732.5,25.17,974.872,2.45
2018-09-28,AMD,732.5,30.89,999,2.56
2018-10-31,AMD,732.5,18.21,999.407,2.65
2018-11-30,AMD,732.5,21.3,999.407,2.7
2018-12-31,AMD,732.5,18.46,1005,2.66
2019-01-31,AMD,732.5,24.41,1005,2.58
2019-02-28,AMD,732.5,23.53,1005.299,2.55
2019-03-29,AMD,732.5,25.52,1081.564,2.49
2019-04-30,AMD,693,27.63,1081.6,2.42
2019-05-31,AMD,693,27.41,1081.6,2.34
2019-06-28,AMD,693,30.37,1086,2
2019-07-31,AMD,693,30.45,1085.546,1.96
2019-08-30,AMD,693,31.45,1085.546,1.77
2019-09-30,AMD,693,28.99,1114,1.8
2019-10-31,AMD,693,33.93,1113.628,1.61
2019-11-29,AMD,693,39.15,1113.628,1.57
2019-12-31,AMD,693,45.86,1170,1.55
2020-01-31,AMD,693,47,1169.662,1.53
2020-02-28,AMD,693,45.48,1169.662,1.41
2020-03-31,AMD,385.5,45.48,1171,0.33
2020-04-30,AMD,385.5,52.39,1171.19,0.18
2020-05-29,AMD,385.5,53.8,1171.19,0.16
2020-06-30,AMD,385.5,52.61,1174,0.18
2020-07-31,AMD,385.5,77.43,1174.057,0.15
2020-08-31,AMD,385.5,90.82,1174.057,0.13
2020-09-30,AMD,385.5,81.99,1202,0.13
2020-10-30,AMD,385.5,75.29,1202.712,0.13
2020-11-30,AMD,385.5,92.66,1202.712,0.12
2020-12-31,AMD,385.5,91.71,1211,0.1
2021-01-29,AMD,385.5,85.64,1211.325,0.1
2021-02-26,AMD,385.5,84.51,1211.325,0.07
2021-03-31,AMD,306.5,78.5,1215,0.08
2021-04-30,AMD,306.5,81.62,1215.021,0.06
2021-05-28,AMD,306.5,80.08,1215.021,0.05
2021-06-30,AMD,306.5,93.93,1213,0.07
2021-07-30,AMD,306.5,106.19,1212.965,0.08
2021-08-31,AMD,306.5,110.72,1212.965,0.07
2021-09-30,AMD,306.5,102.9,1212,0.08
2021-10-29,AMD,306.5,120.23,1207.61,0.11
2021-11-30,AMD,306.5,158.37,1207.61,0.18
2021-12-31,AMD,306.5,143.89999,1207,0.3
2022-01-31,AMD,306.5,114.25,1199.303,0.55
2022-02-28,AMD,306.5,123.34,1627.365,1
2022-03-31,AMD,557.5,109.34,1620,1.34
2022-04-29,AMD,557.5,85.52,1620.508,1.89
2022-05-31,AMD,557.5,101.86,1620.508,2.06
2022-06-30,AMD,557.5,76.47,1612,2.65
2022-07-29,AMD,557.5,94.47,1614.321,3.02
2022-08-31,AMD,557.5,84.87,1614.321,3.28
2022-09-30,AMD,557.5,63.36,1612,3.89
2022-10-31,AMD,557.5,60.06,1612.356,4.43
2022-11-30,AMD,557.5,77.63,1612.356,4.73
