date,ticker,F_debt,stock_price,shares,Tbill
2020-01-31,F,103853,8.82,3894.045,1.53
2020-02-28,F,103853,6.96,3894.045,1.41
2020-03-31,F,105517,4.83,3894.078,0.33
2020-04-30,F,105517,5.09,3906.188,0.18
2020-05-29,F,105517,5.71,3906.188,0.16
2020-06-30,F,105517,6.08,3906.188,0.18
2020-07-31,F,105517,6.61,3907.537,0.15
2020-08-31,F,105517,6.82,3907.537,0.13
2020-09-30,F,105517,6.66,3907.537,0.13
2020-10-30,F,105517,7.73,3907.575,0.13
2020-11-30,F,105517,9.08,3907.575,0.12
2020-12-31,F,105517,8.79,3907.575,0.1
2021-01-29,F,105517,10.53,3907.575,0.1
2021-02-26,F,105517,11.7,3907.843,0.07
2021-03-31,F,107332,12.25,3907.843,0.08
2021-04-30,F,107332,11.54,3920.346,0.06
2021-05-28,F,107332,14.53,3920.792,0.05
2021-06-30,F,107332,14.86,3920.792,0.07
2021-07-30,F,107332,13.95,3923.912,0.08
2021-08-31,F,107332,13.03,3923.912,0.07
2021-09-30,F,107332,14.16,3923.912,0.08
2021-10-29,F,107332,17.08,3925.389,0.11
2021-11-30,F,107332,19.19,3925.389,0.18
2021-12-31,F,107332,20.77,3925.389,0.3
2022-01-31,F,107332,20.3,3925.389,0.55
2022-02-28,F,107332,17.56,3933.395,1
2022-03-31,F,94761,16.91,3947.966,1.34
2022-04-29,F,94761,14.16,3947.966,1.89
2022-05-31,F,94761,13.68,3948.913,2.06
2022-06-30,F,94761,11.13,3948.913,2.65
2022-07-29,F,94761,14.69,3948.913,3.02
2022-08-31,F,94761,15.24,3949.385,3.28
2022-09-30,F,94761,11.2,3949.385,3.89
2022-10-31,F,94761,13.37,3949.385,4.43
2022-11-30,F,94761,13.9,3949.642,4.73
2022-12-30,F,94761,11.63,3949.642,4.68
2020-01-31,GM,68421,33.39,1428.784,1.53
2020-02-28,GM,68421,30.5,1429.002,1.41
2020-03-31,GM,71106,20.78,1429.002,0.33
2020-04-30,GM,71106,22.29,1432.277,0.18
2020-05-29,GM,71106,25.88,1431.076,0.16
2020-06-30,GM,71106,25.3,1431.076,0.18
2020-07-31,GM,71106,24.89,1431.097,0.15
2020-08-31,GM,71106,29.63,1431.097,0.13
2020-09-30,GM,71106,29.59,1431.097,0.13
2020-10-30,GM,71106,34.53,1431.097,0.13
2020-11-30,GM,71106,43.84,1431.308,0.12
2020-12-31,GM,71106,41.64,1431.308,0.1
2021-01-29,GM,71106,50.68,1431.308,0.1
2021-02-26,GM,71106,51.33,1440.913,0.07
2021-03-31,GM,74097,57.46,1440.913,0.08
2021-04-30,GM,74097,57.22,1440.913,0.06
2021-05-28,GM,74097,59.31,1450.671,0.05
2021-06-30,GM,74097,59.17,1450.671,0.07
2021-07-30,GM,74097,56.84,1450.671,0.08
2021-08-31,GM,74097,49.01,1451.724,0.07
2021-09-30,GM,74097,52.71,1451.724,0.08
2021-10-29,GM,74097,54.43,1451.86,0.11
2021-11-30,GM,74097,57.87,1451.86,0.18
2021-12-31,GM,74097,58.63,1451.86,0.3
2022-01-31,GM,74097,52.73,1451.86,0.55
2022-02-28,GM,74097,46.72,1453.021,1
2022-03-31,GM,72259.5,43.74,1453.021,1.34
2022-04-29,GM,72259.5,37.91,1453.021,1.89
2022-05-31,GM,72259.5,38.68,1458.023,2.06
2022-06-30,GM,72259.5,31.76,1458.023,2.65
2022-07-29,GM,72259.5,36.26,1458.023,3.02
2022-08-31,GM,72259.5,38.21,1458.049,3.28
2022-09-30,GM,72259.5,32.09,1458.049,3.89
2022-10-31,GM,72259.5,39.25,1420.697,4.43
2022-11-30,GM,72259.5,40.56,1420.697,4.73
2022-12-30,GM,72259.5,33.64,1420.697,4.68
